Name;OriginalSize;BxesSize;BxesPreprocessing;ZipSize;BxesToXesSize;ExiSize
CCC19 - Log XES;806604;21732;21166;26474;784533;21653
not_existing_assembly_loading_50;69765356;1398690;1370231;3031019;68701568;1496488
unsafe_fixed_50;24518888;414890;404778;1132204;23971780;535439
task_test_project_50;97435590;1831234;1800133;4166718;95865257;1983930
intensive_thread_pool_25;553313386;11488539;11184277;14753209;535664692;10882575
dynamic_assembly_loading_50;73979343;1383324;1353145;3075086;72866363;1480963
exception_try_catch_finally_when_25;15480120;287273;282141;737088;15157994;352525
intensive_thread_pool_50;1094425732;22080222;21571312;28984504;1060341182;21303506
task_test_project_25;48937439;971020;952537;2099811;48117983;1017016
unsafe_fixed_25;12312261;227073;221124;570185;12029400;277401
not_existing_assembly_loading_25;35092368;742800;728323;1527886;34525463;765096
exception_try_catch_finally_when_50;30768851;518353;509187;1461084;30152495;675084
dynamic_assembly_loading_25;37081659;740581;726260;1542237;36511311;760292
file_async_operations_50;207679531;3894167;3814867;7918992;197876708;4207041
loh_allocations_50;2901896089;34044745;36461934;65449218;2892198416;37621612
file_write_project_50;34106472;531182;521998;1467311;33279386;699268
dynamic_assembly_creation_50;130532191;1989977;1951362;4799011;129038675;2216150
not_simple_async_await_25;86244842;1736524;1707474;3291077;81863330;1820589
console_app_1_25;15498949;294932;289074;752913;15143600;361431
exception_try_catch_finally_50;7218623;141104;138877;366417;7103935;146733
simple_async_await_50;115913079;1977341;1950343;4682719;114049307;2166956
exception_try_catch_finally_async_50;246641549;1473249;1398836;11694780;239614319;3284994
yield_enumerator_50;23505447;386425;376357;1108770;22983355;509938
array_pooling_25;40808752;844793;825691;1519093;40525973;904231
finalizable_object_25;22129790;479505;427215;825501;21118620;486312
exception_try_catch_finally_async_25;124905472;778610;734101;5901599;121163740;1528544
simple_async_await_25;58210346;1042008;1023527;2352486;57237740;1106268
exception_try_catch_finally_25;3618508;79762;78252;184378;3559592;78246
console_app_1_50;30958308;532026;520731;1501884;30254205;696409
not_simple_async_await_50;166669833;3206822;3143805;6441271;158764312;3449026
dynamic_assembly_creation_25;65506195;1030035;1010201;2415125;64721718;1123184
file_write_project_25;17146918;293937;288263;740011;16718118;364206
loh_allocations_25;1451463858;17407391;18531472;33046701;1446170168;19152039
file_async_operations_25;108063710;2114606;2074845;4051554;102540642;2233468
finalizable_object_50;44129347;913510;870780;1642132;42131034;961418
array_pooling_50;81271210;1637214;1599141;3007343;80759490;1784559
yield_enumerator_25;11774287;213894;208235;555900;11509884;265112
JUnit 4.12 Software Event Log;2049383;53519;53780;81043;2036569;42855
Sepsis Cases - Event Log;5441435;138900;139016;182652;4859941;159572
BPI Challenge 2018;1946897684;104109762;102910917;151167704;1844090465;114077209
BPI_Challenge_2019;728558522;701062;694121;15580528;309610206;9969292
Hospital_log;85363264;826400;817459;2170365;80927465;956184
BPI Challenge 2017;578941403;2391652;2377687;26339829;286750669;22738334
Hospital Billing - Event Log;174298183;3606858;3592133;5956718;154971295;4891462
Road_Traffic_Fine_Management_Process;185382899;1314105;1305023;2946229;157391864;2328350
log2;207345060;2074475;2050298;2487742;207223099;1565697
log1;207578632;2042547;2033022;2515157;207457112;1717698
Statechart Workbench and Alignments Software Event Log;47663197;360332;352789;415993;47713884;345778
BPI_Challenge_2012;74100050;1795289;1805691;2991224;60985684;2669697
BPIC15_3;46768886;1389744;1377227;2024101;45442158;1232210
BPIC15_1;41227060;1256741;1256955;1965191;40084454;1110654
BPIC15_4;36998010;1017993;1029102;1750283;36004715;916773
BPIC15_5;46039768;1282488;1291670;2280469;44839606;1154894
activitylog_uci_detailed_labour;339236;9255;9251;11698;279799;10052
edited_hh104_labour;993440;26436;26423;32574;818275;27350
edited_hh110_labour;333997;9232;9226;11583;275079;9955
edited_hh110_weekends;89510;2937;2929;3762;73643;3348
edited_hh102_weekends;102375;3228;3217;4365;84291;3793
edited_hh104_weekends;415642;11233;11221;14027;343363;12005
edited_hh102_labour;279669;7891;7879;10041;230723;8646
activitylog_uci_detailed_weekends;120596;3595;3575;4800;99427;4187
BPI_Challenge_2013_closed_problems;4188481;106748;107247;171828;4085429;120321
BPI_Challenge_2013_incidents;39553525;733295;730535;1191679;38448766;855725
BPI_Challenge_2013_open_problems;1402523;41473;42196;63114;1325457;45391
nasa-cev-complete-splitted;74881861;1077494;1060462;1264505;74509281;909780
nasa-cev-1-10-single-trace;51349;3954;3942;3567;50890;3455
nasa-cev-complete-single-trace;61529300;894383;864374;1203454;61509098;816904
